Quote,Author,Link
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus,https://www.goodreads.com/quotes/tag/friendship
"“Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”","C.S. Lewis,",https://www.goodreads.com/work/quotes/14816053
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,https://www.goodreads.com/quotes/tag/friendship
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://www.goodreads.com/quotes/tag/friendship
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://www.goodreads.com/quotes/tag/friendship
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,https://www.goodreads.com/quotes/tag/friendship
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”","Jane Austen,",https://www.goodreads.com/work/quotes/4039699
"“If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you.”","Joan Powers,",https://www.goodreads.com/work/quotes/981223
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://www.goodreads.com/quotes/tag/friendship
"“When someone loves you, the way they talk about you is different. You feel safe and comfortable.”","Jess C. Scott,",https://www.goodreads.com/work/quotes/13855513
"“Piglet sidled up to Pooh from behind. ""Pooh!"" he whispered.""Yes, Piglet?""""Nothing,"" said Piglet, taking Pooh's paw. ""I just wanted to be sure of you.”","A.A. Milne,",https://www.goodreads.com/work/quotes/231311954
"“There is nothing better than a friend, unless it is a friend with chocolate.”",Linda Grayson,https://www.goodreads.com/quotes/tag/friendship
"“When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”","Henri Nouwen,",https://www.goodreads.com/work/quotes/116112
"“I would rather walk with a friend in the dark, than alone in the light.”",Helen Keller,https://www.goodreads.com/quotes/tag/friendship
"“Life is an awful, ugly place to not have a best friend.”","Sarah Dessen,",https://www.goodreads.com/work/quotes/802840
"“You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.”","Nicholas Sparks,",https://www.goodreads.com/work/quotes/1498135
"“Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”","C.S. Lewis,",https://www.goodreads.com/work/quotes/14816053
“Out beyond ideas of wrongdoing and rightdoing there is a field.I'll meet you there.When the soul lies down in that grassthe world is too full to talk about.”,Rumi,https://www.goodreads.com/quotes/tag/friendship
“You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.”,"A.A. Milne,",https://www.goodreads.com/work/quotes/1225592
"“Why did you do all this for me?' he asked. 'I don't deserve it. I've never done anything for you.' 'You have been my friend,' replied Charlotte. 'That in itself is a tremendous thing.”","E.B. White,",https://www.goodreads.com/work/quotes/987048
“What is a friend? A single soul dwelling in two bodies.”,Aristotle,https://www.goodreads.com/quotes/tag/friendship
"“I think if I've learned anything about friendship, it's to hang in, stay connected, fight for them, and let them fight for you. Don't walk away, don't be distracted, don't be too busy or tired, don't take them for granted. Friends are part of the glue that holds life and faith together. Powerful stuff.”",Jon Katz,https://www.goodreads.com/quotes/tag/friendship
"“Nobody likes being alone that much. I don't go out of my way to make friends, that's all. It just leads to disappointment. ”","Haruki Murakami,",https://www.goodreads.com/work/quotes/2956680
"“Friendship is the hardest thing in the world to explain. It's not something you learn in school. But if you haven't learned the meaning of friendship, you really haven't learned anything.”",Muhammad Ali,https://www.goodreads.com/quotes/tag/friendship
"“Each friend represents a world in us, a world possibly not born until they arrive, and it is only by this meeting that a new world is born.”","Anais Nin,",https://www.goodreads.com/work/quotes/1107826
"“He must have known I'd want to leave you.""""No, he must have known you would always want to come back.”","J.K. Rowling,",https://www.goodreads.com/work/quotes/2963218
“How many slams in an old screen door? Depends how loud you shut it. How many slices in a bread? Depends how thin you cut it. How much good inside a day? Depends how good you live 'em. How much love inside a friend? Depends how much you give 'em.”,Shel Silverstein,https://www.goodreads.com/quotes/tag/friendship
"“It is more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like ""What about lunch?”","A. A. Milne,",https://www.goodreads.com/work/quotes/1225592
"“No person is your friend who demands your silence, or denies your right to grow.”",Alice Walker,https://www.goodreads.com/quotes/tag/friendship
"“Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with.”",Gillian Anderson,https://www.goodreads.com/quotes/tag/friendship
